age,workclass,education,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,Private,Bachelors,Never-married,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Self-emp-not-inc,Bachelors,Married-civ-spouse,Husband,Black,Male,0,1887,48,United-States,>50K
32,Private,Bachelors,Never-married,Not-in-family,Black,Female,0,0,40,United-States,<=50K
46,Private,Bachelors,Divorced,Not-in-family,White,Male,0,0,40,Others,<=50K
44,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
28,Private,Some-college,Never-married,Not-in-family,Black,Male,0,0,40,United-States,<=50K
23,Private,HS-grad,Never-married,Not-in-family,White,Male,0,1590,48,United-States,<=50K
52,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,44,United-States,<=50K
27,Private,Some-college,Never-married,Not-in-family,White,Female,0,0,60,United-States,<=50K
41,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
32,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,70,Others,<=50K
40,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
37,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,30,United-States,<=50K
44,Private,Bachelors,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
36,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,>50K
25,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,30,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,36,United-States,>50K
39,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
56,Private,Bachelors,Married-civ-spouse,Husband,White,Male,4508,0,40,United-States,<=50K
50,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,>50K
28,Private,Some-college,Never-married,Not-in-family,White,Female,0,0,50,United-States,<=50K
39,Local-gov,HS-grad,Divorced,Not-in-family,White,Male,0,0,40,United-States,>50K
56,Private,Bachelors,Divorced,Not-in-family,White,Female,0,0,32,United-States,<=50K
49,Private,HS-grad,Divorced,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,Private,Masters,Married-civ-spouse,Husband,White,Male,0,0,55,United-States,>50K
62,Private,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,40,United-States,>50K
43,Private,Masters,Divorced,Not-in-family,White,Female,0,0,50,United-States,>50K
39,Private,Bachelors,Divorced,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,50,United-States,<=50K
35,Private,HS-grad,Divorced,Not-in-family,White,Male,0,0,60,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Husband,White,Male,0,0,55,United-States,>50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Husband,White,Male,0,0,60,United-States,<=50K
44,Self-emp-not-inc,Masters,Married-civ-spouse,Wife,White,Female,0,1902,60,United-States,>50K
35,Private,Masters,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,65,Others,>50K
